Gene	IM-day2	Day2-day4	Day4-day8
AT1G35750	-2.82704	-2.06869	-3.84283
AT1G35910	2.49682	-1.83507	3.63889
AT1G36060	10.1566033333333	-2.11965	3.24631
AT1G37130	4.68625	0	6.05122
AT1G37140	-2.12602	0	-3.04953
AT1G42480	-1.97504	0	0
AT1G42980	10.64563	-5.43209	9.34019
AT1G42990	4.84774	-2.62878	2.335135
AT1G43000	2.44121666666667	-2.269845	0
AT1G43160	19.1569133333333	0	39.8311166666667
AT1G44100	2.22106	-2.11751	0
AT1G44130	14.79178	-2.33674	6.03829
AT1G44800	2.73554	0	0
AT1G44830	13.8858333333333	-2.88599	2.35072666666667
AT1G45010	-2.57512	2.08148	2.30945
AT1G45145	2.58436	0	3.73283
AT1G47395	-1.97614	0	0
AT1G47655	2.39918	0	0
AT1G47890	39.60483	-12.47587	6.57963
AT1G48300	-1.85554	0	0
AT1G48330	2.62097	0	0
AT1G48660	-2.64014	4.38031	0
AT1G48760	-2.02338	1.9962	0
AT1G49000	41.35401	-3.2755	0
AT1G49050	1.86993	-2.59517	0
AT1G49130	-2.22367	1.92124	2.33385333333333
AT1G49190	-2.47427	0	0
AT1G49200	2.17936	0	-2.4715
AT1G49210	2.87983	0	0
AT1G49220	-3.61951	0	0
AT1G49230	-2.75051	0	0
AT1G49310	2.28557	3.30189	3.31636
AT1G49470	2.79601	0	0
AT1G49570	28.16792	0	-2.54281
AT1G49830	-2.451	0	0
AT1G49920	-1.81582	0	0
AT1G49975	-2.82165	0	0
AT1G50280	-3.0462	0	0
AT1G50400	2.06125	0	0
AT1G50560	-2.06843	0	0
AT1G50740	2.28694	0	0
AT1G50980	-1.94408	0	0
AT1G51220	-3.14952666666667	-4.22558333333333	-14.90936
AT1G51270	2.338295	-2.03657	0
AT1G51420	2.0025	0	1.88896
AT1G51530	-1.92275	0	0
AT1G51620	3.19501333333333	-1.91561333333333	6.61689
AT1G51680	2.02593	0	2.86598
AT1G51700	2.69416	-1.81618	1.8387
AT1G51760	3.69094	-3.29394	9.73416
AT1G51790	8.98496333333333	-1.89465	3.36361
AT1G51800	67.7186666666667	-3.12959666666667	2.61927333333333
AT1G51850	2.57698	-1.97408	5.908175
AT1G51890	8.06852333333333	-6.43948333333333	0
AT1G51920	15.02033	-3.8383	0
AT1G51940	-1.93468	0	0
AT1G52030	2.78659	2.00338	5.3423
AT1G52190	-1.94757	0	0
AT1G52200	60.99961	-3.30332	6.72224
AT1G52270	-2.49701	0	0
AT1G52342	2.98126	0	5.94826
AT1G52400	1.93137	0	3.06331
AT1G52560	3.35978	0	2.64405
AT1G52565	2.04039	0	0
AT1G52690	1.82046	0	132.10347
AT1G52750	-2.73676	0	0
AT1G52880	2.20738333333333	0	2.40926333333333
AT1G52890	12.8251366666667	0	23.1784866666667
AT1G52990	-2.20426	2.79534	0
AT1G53060	2.94565	0	1.89001
AT1G53080	4.66298	0	2.79048
AT1G53160	-1.96307	0	0
AT1G53163	-2.26301	3.1421	0
AT1G53180	4.93018	0	0
AT1G53625	11.18654	-4.57287	0
AT1G53885	2.03129	0	2.98084
AT1G53903	2.05653	0	2.79047
AT1G54010	3.03949	3.82001	6.08945
AT1G54100	2.24154	0	4.97378
AT1G54730	-1.93939	0	0
AT1G55070	-2.61324	0	0
AT1G55230	10.65125	-5.60695	4.79264
AT1G55450	4.81998	0	0
AT1G55570	-3.88545	0	-7.61141
AT1G55700	3.46964	0	0
AT1G55790	-2.52951	0	0
AT1G55810	-1.94476	0	0
AT1G55850	3.36908	0	2.20083
AT1G55920	11.55709	-3.41353	0
AT1G56040	2.05605	2.48722	0
AT1G56060	17.01147	-5.96298	6.47874
AT1G56150	2.84538	-2.73403	-1.94072
AT1G56240	105.65592	-11.33588	0
AT1G56250	242.22139	-16.09664	0
AT1G56270	-2.92571	3.51667	-6.58436
AT1G56300	-1.93498	0	0
AT1G56430	-15.31901	0	0
AT1G56480	-3.80781	0	0
AT1G56600	2.97403	0	0
AT1G56700	-4.70857	0	0
AT1G56720	-1.98504	2.02578	0
AT1G57630	60.98456	-12.091	5.4729
AT1G57650	5.62099	-3.33006	0
AT1G57750	-2.036025	0	0
AT1G57990	27.33228	-7.89408	5.14913
AT1G58050	-2.1822	-1.83984	-2.30416
AT1G58180	1.83901	0	2.03407
AT1G58190	2.95079	0	0
AT1G58225	6.1726	0	0
AT1G58420	2.25776	0	2.84564
AT1G58460	-4.48779	0	0
AT1G59500	2.84841	2.06241	0
AT1G59590	50.68313	-7.90454	0
AT1G59620	2.25094	0	1.89593
AT1G59630	-2.73169	0	0
AT1G59670	4.79076	0	2.72166
AT1G59675	7.01482	0	0
AT1G59700	2.00958	0	2.96147
AT1G59740	3.38454	-2.09613	34.7258
AT1G59870	3.04389	-1.97201	0
AT1G59940	1.83564	-3.49959	0
AT1G60040	-1.96507	0	0
AT1G60630	-2.68826666666667	0	0
AT1G60640	2.08076	0	0
AT1G60730	2.13891	0	2.74965
AT1G60989	-2.29288	0	-1.94695
AT1G61110	-5.96818	-1.915785	0
AT1G61340	2.19653	0	2.50838
AT1G61360	4.6146	-2.41117333333333	2.136795
AT1G61370	2.207	-1.934395	0
AT1G61380	2.021535	0	1.80912
AT1G61420	2.31150666666667	-1.82857	0
AT1G61560	30.24942	-7.50246	3.54663
AT1G61580	-1.85038	0	0
AT1G61660	3.60042	0	0
AT1G61800	2.84435	-2.35144	4.4427
AT1G61930	-2.35481	0	0
AT1G62240	-2.39068	0	0
AT1G62290	1.92581	0	1.939
AT1G62300	4.92089666666667	-2.71657666666667	2.01571666666667
AT1G62333	-6.20427	0	0
AT1G62422	2.79918	0	0
AT1G62500	-2.03207	0	0
AT1G62540	-2.91685	1.9603	1.95213
AT1G62870	-1.88646	0	0
AT1G62975	-2.4759	2.09887	2.01294
AT1G63245	7.11645	-3.44225	4.09066
AT1G63260	-2.07551	0	0
AT1G63280	-2.80726	0	0
AT1G63530	5.75927	-4.6066	3.10108
AT1G63710	-2.23933	0	36.39933
AT1G63720	3.09434	-2.10928	1.90828
AT1G63820	5.00945	0	7.01317
AT1G63840	2.50617	-2.15977	3.67079
AT1G63960	-3.68824	0	0
AT1G63990	-2.02976	0	0
AT1G64065	6.42445	-3.34114	4.03938
AT1G64260	-2.14207	0	-3.42549
AT1G64370	-2.05742	2.25515	0
AT1G64400	8.89631	-2.80991	0
AT1G64590	-6.36818	0	0
AT1G64660	3.66384	0	2.65847
AT1G64710	4.54483	0	0
AT1G64900	2.78756	-1.8861	0
AT1G65140	-2.34581	0	0
AT1G65150	-5.39907	0	0
AT1G65470	-1.84732	0	0
AT1G65480	-2.85301	0	-2.07566
AT1G65486	3.50877	0	2.53795
AT1G65490	2.32445	0	3.21452
AT1G65500	5.69941	0	3.93565
AT1G65550	-2.1611	0	0
AT1G65690	30.4833	-3.12624	4.05341
AT1G65760	-3.89163	0	0
AT1G65780	-2.49172	0	-3.07072
AT1G65790	2.67839666666667	-2.01732	0
AT1G65800	1.97059	0	0
AT1G65845	2.75861	0	1.90305
AT1G65890	-3.17729	0	0
AT1G65900	-2.08166	0	0
AT1G65985	4.55845	0	0
AT1G66160	8.82099	0	8.84078
AT1G66230	-1.904905	2.49223666666667	5.55183666666667
AT1G66370	3.38383	0	10.82885
AT1G66390	3.84902333333333	-2.31056666666667	1.99406333333333
AT1G66400	2.33397	0	4.38514
AT1G66460	-2.62235	0	0
AT1G66480	10.98915	-3.76445	2.84834
AT1G66540	-2.53589	0	0
AT1G66590	2.12078	0	2.52799
AT1G66600	34.8730666666667	-2.99878666666667	2.81566666666667
AT1G66690	25.44818	-14.09223	4.1877
AT1G66700	40.00229	-7.57894	0
AT1G66725	5.57876	-2.42558	2.38077
